[ T - Deposit ]
    title = Energy Deposition in lower cooper
     mesh =  reg            # mesh type is region-wise
      reg = 102
     unit =    3            # unit is [1/source] : only for output=deposit
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output = deposit         # deposit enerygy distribution
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
   e-type =    3            # e-mesh is log given by emin, emax and ne
     emin =  1.0000000E-05  # minimum value of e-mesh points
     emax =   10.00000      # maximum value of e-mesh points
#    edel =  6.9077553E-02  # mesh width of e-mesh points
       ne =    200          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-05  1.07152E-05  1.14815E-05  1.23027E-05  1.31826E-05
#           1.41254E-05  1.51356E-05  1.62181E-05  1.73780E-05  1.86209E-05
#           1.99526E-05  2.13796E-05  2.29087E-05  2.45471E-05  2.63027E-05
#           2.81838E-05  3.01995E-05  3.23594E-05  3.46737E-05  3.71535E-05
#           3.98107E-05  4.26580E-05  4.57088E-05  4.89779E-05  5.24807E-05
#           5.62341E-05  6.02560E-05  6.45654E-05  6.91831E-05  7.41310E-05
#           7.94328E-05  8.51138E-05  9.12011E-05  9.77237E-05  1.04713E-04
#           1.12202E-04  1.20226E-04  1.28825E-04  1.38038E-04  1.47911E-04
#           1.58489E-04  1.69824E-04  1.81970E-04  1.94984E-04  2.08930E-04
#           2.23872E-04  2.39883E-04  2.57040E-04  2.75423E-04  2.95121E-04
#           3.16228E-04  3.38844E-04  3.63078E-04  3.89045E-04  4.16869E-04
#           4.46684E-04  4.78630E-04  5.12861E-04  5.49541E-04  5.88844E-04
#           6.30957E-04  6.76083E-04  7.24436E-04  7.76247E-04  8.31764E-04
#           8.91251E-04  9.54993E-04  1.02329E-03  1.09648E-03  1.17490E-03
#           1.25893E-03  1.34896E-03  1.44544E-03  1.54882E-03  1.65959E-03
#           1.77828E-03  1.90546E-03  2.04174E-03  2.18776E-03  2.34423E-03
#           2.51189E-03  2.69153E-03  2.88403E-03  3.09030E-03  3.31131E-03
#           3.54813E-03  3.80189E-03  4.07380E-03  4.36516E-03  4.67735E-03
#           5.01187E-03  5.37032E-03  5.75440E-03  6.16595E-03  6.60693E-03
#           7.07946E-03  7.58578E-03  8.12831E-03  8.70964E-03  9.33254E-03
#           1.00000E-02  1.07152E-02  1.14815E-02  1.23027E-02  1.31826E-02
#           1.41254E-02  1.51356E-02  1.62181E-02  1.73780E-02  1.86209E-02
#           1.99526E-02  2.13796E-02  2.29087E-02  2.45471E-02  2.63027E-02
#           2.81838E-02  3.01995E-02  3.23594E-02  3.46737E-02  3.71535E-02
#           3.98107E-02  4.26580E-02  4.57088E-02  4.89779E-02  5.24807E-02
#           5.62341E-02  6.02560E-02  6.45654E-02  6.91831E-02  7.41310E-02
#           7.94328E-02  8.51138E-02  9.12011E-02  9.77237E-02  1.04713E-01
#           1.12202E-01  1.20226E-01  1.28825E-01  1.38038E-01  1.47911E-01
#           1.58489E-01  1.69824E-01  1.81970E-01  1.94984E-01  2.08930E-01
#           2.23872E-01  2.39883E-01  2.57040E-01  2.75423E-01  2.95121E-01
#           3.16228E-01  3.38844E-01  3.63078E-01  3.89045E-01  4.16869E-01
#           4.46684E-01  4.78630E-01  5.12861E-01  5.49541E-01  5.88844E-01
#           6.30957E-01  6.76083E-01  7.24436E-01  7.76247E-01  8.31764E-01
#           8.91251E-01  9.54993E-01  1.02329E+00  1.09648E+00  1.17490E+00
#           1.25893E+00  1.34896E+00  1.44544E+00  1.54882E+00  1.65959E+00
#           1.77828E+00  1.90546E+00  2.04174E+00  2.18776E+00  2.34423E+00
#           2.51189E+00  2.69153E+00  2.88403E+00  3.09030E+00  3.31131E+00
#           3.54813E+00  3.80189E+00  4.07380E+00  4.36516E+00  4.67735E+00
#           5.01187E+00  5.37032E+00  5.75440E+00  6.16595E+00  6.60693E+00
#           7.07946E+00  7.58578E+00  8.12831E+00  8.70964E+00  9.33254E+00
#           1.00000E+01
     axis =   eng           # axis of output
     file = deposit_Cu.out  # file name of output for the above axis
     part =  63Cu       65Cu       electron   positron   all      
# kf/name :  29000063   29000065   11         -11        0        
    y-txt = Response [cm^2]
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         205 (  0)           0 (  0)         205 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    102

x: Deposit Energy [MeV]
y: Response [cm^2]
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(63Cu    ),hh0l   n y(65Cu    ),hh0dr  n y(electron),hh0ub  n y(positron),hh0mg  n y(all     ),hh0qrr n 
#  e-lower      e-upper      63Cu        r.err    65Cu        r.err    electron    r.err    positron    r.err    all         r.err 
   2.1380E-02   2.2909E-02   2.5977E-03  0.0186   1.2584E-03  0.0253   1.2935E-05  0.2706   0.0000E+00  0.0000   3.8719E-03  0.0161
   2.2909E-02   2.4547E-02   2.7097E-03  0.0181   1.3746E-03  0.0240   1.3729E-05  0.2607   0.0000E+00  0.0000   4.0985E-03  0.0156
   2.4547E-02   2.6303E-02   2.9232E-03  0.0174   1.3835E-03  0.0236   2.0151E-05  0.2112   0.0000E+00  0.0000   4.3290E-03  0.0152
   2.6303E-02   2.8184E-02   2.9908E-03  0.0172   1.4667E-03  0.0229   8.7629E-06  0.3243   0.0000E+00  0.0000   4.4667E-03  0.0149
   2.8184E-02   3.0200E-02   3.1820E-03  0.0167   1.4830E-03  0.0226   2.2616E-05  0.1994   0.0000E+00  0.0000   4.6882E-03  0.0146
   3.0200E-02   3.2359E-02   3.3289E-03  0.0163   1.5695E-03  0.0220   1.8833E-05  0.2170   0.0000E+00  0.0000   4.9178E-03  0.0142
   3.2359E-02   3.4674E-02   3.4364E-03  0.0160   1.5774E-03  0.0217   1.3229E-05  0.2601   0.0000E+00  0.0000   5.0285E-03  0.0141
   3.4674E-02   3.7154E-02   3.5231E-03  0.0157   1.6586E-03  0.0211   2.0324E-05  0.2120   0.0000E+00  0.0000   5.2042E-03  0.0138
   3.7154E-02   3.9811E-02   3.5780E-03  0.0156   1.7183E-03  0.0207   2.5606E-05  0.1893   0.0000E+00  0.0000   5.3229E-03  0.0137
   3.9811E-02   4.2658E-02   3.7534E-03  0.0151   1.7689E-03  0.0201   3.5586E-05  0.1557   0.0000E+00  0.0000   5.5614E-03  0.0134
   4.2658E-02   4.5709E-02   3.9568E-03  0.0147   1.8593E-03  0.0196   3.7055E-05  0.1513   0.0000E+00  0.0000   5.8538E-03  0.0131
   4.5709E-02   4.8978E-02   3.9056E-03  0.0148   1.9402E-03  0.0192   3.9914E-05  0.1473   0.0000E+00  0.0000   5.8878E-03  0.0130
   4.8978E-02   5.2481E-02   4.1702E-03  0.0143   2.0059E-03  0.0187   4.6303E-05  0.1349   0.0000E+00  0.0000   6.2251E-03  0.0127
   5.2481E-02   5.6234E-02   4.1883E-03  0.0142   2.0511E-03  0.0185   4.6972E-05  0.1332   0.0000E+00  0.0000   6.2869E-03  0.0126
   5.6234E-02   6.0256E-02   4.3123E-03  0.0140   2.0955E-03  0.0181   5.5659E-05  0.1198   0.0000E+00  0.0000   6.4636E-03  0.0124
   6.0256E-02   6.4565E-02   4.4959E-03  0.0137   2.1988E-03  0.0177   5.4110E-05  0.1203   0.0000E+00  0.0000   6.7490E-03  0.0122
   6.4565E-02   6.9183E-02   4.5644E-03  0.0135   2.1955E-03  0.0174   7.4375E-05  0.1048   0.0000E+00  0.0000   6.8358E-03  0.0121
   6.9183E-02   7.4131E-02   4.6603E-03  0.0134   2.2532E-03  0.0172   7.8590E-05  0.1021   0.0000E+00  0.0000   6.9925E-03  0.0119
   7.4131E-02   7.9433E-02   4.6598E-03  0.0133   2.2263E-03  0.0171   1.0200E-04  0.0891   0.0000E+00  0.0000   6.9895E-03  0.0119
   7.9433E-02   8.5114E-02   4.5904E-03  0.0134   2.2181E-03  0.0171   1.0246E-04  0.0905   0.0000E+00  0.0000   6.9126E-03  0.0120
   8.5114E-02   9.1201E-02   4.6298E-03  0.0132   2.3316E-03  0.0166   1.3186E-04  0.0786   0.0000E+00  0.0000   7.0932E-03  0.0119
   9.1201E-02   9.7724E-02   4.5653E-03  0.0133   2.2552E-03  0.0167   1.3925E-04  0.0776   0.0000E+00  0.0000   6.9605E-03  0.0120
   9.7724E-02   1.0471E-01   4.5177E-03  0.0134   2.1837E-03  0.0168   1.5772E-04  0.0719   0.0000E+00  0.0000   6.8597E-03  0.0121
   1.0471E-01   1.1220E-01   4.5093E-03  0.0133   2.1625E-03  0.0166   2.1437E-04  0.0634   3.2515E-07  1.0000   6.8867E-03  0.0120
   1.1220E-01   1.2023E-01   4.3668E-03  0.0135   2.1267E-03  0.0168   2.2512E-04  0.0606   0.0000E+00  0.0000   6.7190E-03  0.0122
   1.2023E-01   1.2882E-01   4.2291E-03  0.0137   2.0616E-03  0.0168   3.5805E-04  0.0496   3.6146E-07  1.0000   6.6492E-03  0.0123
   1.2882E-01   1.3804E-01   4.0752E-03  0.0139   1.9986E-03  0.0171   3.4520E-04  0.0495   0.0000E+00  0.0000   6.4196E-03  0.0125
   1.3804E-01   1.4791E-01   3.9701E-03  0.0140   1.9142E-03  0.0171   3.7040E-04  0.0472   6.3669E-07  1.0000   6.2560E-03  0.0126
   1.4791E-01   1.5849E-01   3.6653E-03  0.0145   1.7385E-03  0.0178   4.0406E-04  0.0457   9.9792E-07  1.0000   5.8089E-03  0.0131
   1.5849E-01   1.6982E-01   3.4545E-03  0.0149   1.6473E-03  0.0180   4.8114E-04  0.0418   0.0000E+00  0.0000   5.5834E-03  0.0134
   1.6982E-01   1.8197E-01   3.1674E-03  0.0155   1.5076E-03  0.0186   5.7833E-04  0.0382   0.0000E+00  0.0000   5.2541E-03  0.0138
   1.8197E-01   1.9498E-01   2.8925E-03  0.0161   1.3759E-03  0.0194   6.4468E-04  0.0359   3.7756E-07  0.8731   4.9138E-03  0.0143
   1.9498E-01   2.0893E-01   2.6879E-03  0.0166   1.3338E-03  0.0196   7.0818E-04  0.0345   4.8662E-07  0.9003   4.7312E-03  0.0145
   2.0893E-01   2.2387E-01   2.5121E-03  0.0171   1.1904E-03  0.0203   8.3598E-04  0.0318   6.6075E-07  1.0000   4.5396E-03  0.0148
   2.2387E-01   2.3988E-01   2.1281E-03  0.0184   1.0325E-03  0.0216   8.9708E-04  0.0305   3.9131E-07  0.8720   4.0596E-03  0.0157
   2.3988E-01   2.5704E-01   1.9337E-03  0.0192   9.1285E-04  0.0224   9.9059E-04  0.0290   0.0000E+00  0.0000   3.8380E-03  0.0161
   2.5704E-01   2.7542E-01   1.8102E-03  0.0197   8.7022E-04  0.0231   1.0655E-03  0.0280   0.0000E+00  0.0000   3.7462E-03  0.0163
   2.7542E-01   2.9512E-01   1.5024E-03  0.0213   7.1430E-04  0.0249   1.2774E-03  0.0255   2.3324E-07  1.0000   3.4957E-03  0.0169
   2.9512E-01   3.1623E-01   1.3521E-03  0.0222   6.7033E-04  0.0257   1.3158E-03  0.0251   1.3697E-07  0.7585   3.3391E-03  0.0173
   3.1623E-01   3.3884E-01   1.1707E-03  0.0235   5.3582E-04  0.0275   1.4611E-03  0.0239   0.0000E+00  0.0000   3.1684E-03  0.0177
   3.3884E-01   3.6308E-01   1.0295E-03  0.0244   4.7588E-04  0.0284   1.5975E-03  0.0228   0.0000E+00  0.0000   3.1045E-03  0.0179
   3.6308E-01   3.8905E-01   8.8553E-04  0.0257   4.3916E-04  0.0294   1.7670E-03  0.0219   0.0000E+00  0.0000   3.0936E-03  0.0180
   3.8905E-01   4.1687E-01   7.2495E-04  0.0268   3.4429E-04  0.0316   2.0038E-03  0.0205   4.7440E-07  0.6543   3.0766E-03  0.0180
   4.1687E-01   4.4668E-01   7.0192E-04  0.0265   3.2154E-04  0.0310   2.1041E-03  0.0199   1.7884E-07  0.7038   3.1285E-03  0.0179
   4.4668E-01   4.7863E-01   5.9574E-04  0.0276   2.7586E-04  0.0333   2.1475E-03  0.0198   2.9896E-07  0.5972   3.0217E-03  0.0182
   4.7863E-01   5.1286E-01   5.5696E-04  0.0272   2.6566E-04  0.0317   2.6795E-03  0.0179   8.1208E-07  0.7192   3.5037E-03  0.0169
   5.1286E-01   5.4954E-01   5.1313E-04  0.0270   2.3123E-04  0.0330   2.6947E-03  0.0178   5.6954E-07  1.0000   3.4408E-03  0.0170
   5.4954E-01   5.8884E-01   4.9247E-04  0.0263   2.2151E-04  0.0317   2.9303E-03  0.0171   8.7732E-07  0.5035   3.6464E-03  0.0165
   5.8884E-01   6.3096E-01   4.5016E-04  0.0259   2.1067E-04  0.0309   2.8075E-03  0.0174   1.9944E-06  0.4666   3.4718E-03  0.0170
   6.3096E-01   6.7608E-01   4.3727E-04  0.0251   2.0744E-04  0.0299   3.2130E-03  0.0164   2.8279E-06  0.4988   3.8610E-03  0.0161
   6.7608E-01   7.2444E-01   5.0420E-04  0.0210   2.0675E-04  0.0278   5.0381E-03  0.0133   1.6604E-06  0.4879   5.7510E-03  0.0132
   7.2444E-01   7.7625E-01   6.5100E-04  0.0166   2.4429E-04  0.0230   5.7262E-03  0.0124   6.5226E-07  0.4428   6.6232E-03  0.0123
   7.7625E-01   8.3176E-01   7.0831E-04  0.0160   2.9713E-04  0.0192   6.8909E-03  0.0113   1.2475E-06  0.4391   7.8986E-03  0.0112
   8.3176E-01   8.9125E-01   7.2003E-04  0.0158   3.5078E-04  0.0176   8.4908E-03  0.0102   1.0440E-06  0.4293   9.5641E-03  0.0102
   8.9125E-01   9.5499E-01   6.9943E-04  0.0161   3.4877E-04  0.0176   5.6803E-03  0.0122   1.4925E-06  0.4437   6.7320E-03  0.0122
   9.5499E-01   1.0233E+00   6.8875E-04  0.0155   2.9774E-04  0.0196   7.7783E-03  0.0107   1.6981E-06  0.4222   8.7688E-03  0.0107
   1.0233E+00   1.0965E+00   8.2272E-04  0.0132   3.1125E-04  0.0176   8.0842E-03  0.0104   3.8420E-06  0.2871   9.2238E-03  0.0104
   1.0965E+00   1.1749E+00   7.7955E-04  0.0140   3.2458E-04  0.0168   7.5152E-03  0.0108   8.8595E-06  0.2257   8.6310E-03  0.0108
   1.1749E+00   1.2589E+00   6.8188E-04  0.0151   3.3975E-04  0.0160   6.9235E-03  0.0112   6.1837E-06  0.2372   7.9535E-03  0.0112
   1.2589E+00   1.3490E+00   5.4313E-04  0.0165   2.8426E-04  0.0183   5.5248E-03  0.0126   9.5389E-06  0.1986   6.3648E-03  0.0125
   1.3490E+00   1.4454E+00   4.9931E-04  0.0162   2.1783E-04  0.0203   6.8458E-03  0.0115   1.0789E-05  0.1871   7.5822E-03  0.0115
   1.4454E+00   1.5488E+00   5.6788E-04  0.0144   2.2890E-04  0.0186   7.6047E-03  0.0109   1.2402E-05  0.1632   8.4265E-03  0.0109
   1.5488E+00   1.6596E+00   5.3138E-04  0.0147   2.3865E-04  0.0176   7.0805E-03  0.0113   1.8705E-05  0.1339   7.8786E-03  0.0113
   1.6596E+00   1.7783E+00   4.6142E-04  0.0159   2.2623E-04  0.0179   6.2068E-03  0.0120   1.8669E-05  0.1246   6.9316E-03  0.0120
   1.7783E+00   1.9055E+00   3.9362E-04  0.0172   1.9037E-04  0.0193   5.3729E-03  0.0129   2.2276E-05  0.1164   6.0155E-03  0.0129
   1.9055E+00   2.0417E+00   3.4255E-04  0.0179   1.5779E-04  0.0207   4.9075E-03  0.0136   2.8813E-05  0.1127   5.4766E-03  0.0135
   2.0417E+00   2.1878E+00   3.1522E-04  0.0174   1.3916E-04  0.0214   5.5787E-03  0.0128   4.9684E-05  0.0857   6.1402E-03  0.0127
   2.1878E+00   2.3442E+00   3.1464E-04  0.0171   1.4084E-04  0.0200   5.2939E-03  0.0131   4.7576E-05  0.0847   5.8818E-03  0.0130
   2.3442E+00   2.5119E+00   2.7155E-04  0.0183   1.2804E-04  0.0210   4.8063E-03  0.0138   5.3030E-05  0.0831   5.3678E-03  0.0136
   2.5119E+00   2.6915E+00   2.5209E-04  0.0182   1.1547E-04  0.0215   5.1773E-03  0.0133   8.6265E-05  0.0652   5.7530E-03  0.0132
   2.6915E+00   2.8840E+00   2.2671E-04  0.0188   1.0726E-04  0.0220   4.3853E-03  0.0144   8.3091E-05  0.0665   4.9557E-03  0.0142
   2.8840E+00   3.0903E+00   2.0220E-04  0.0195   9.2031E-05  0.0231   4.1242E-03  0.0149   1.1067E-04  0.0581   4.7292E-03  0.0145
   3.0903E+00   3.3113E+00   1.8443E-04  0.0195   8.5635E-05  0.0238   4.2407E-03  0.0147   1.4497E-04  0.0506   4.8789E-03  0.0143
   3.3113E+00   3.5481E+00   1.6187E-04  0.0203   7.3031E-05  0.0241   3.8267E-03  0.0155   1.3332E-04  0.0530   4.4597E-03  0.0150
   3.5481E+00   3.8019E+00   1.4259E-04  0.0215   6.3203E-05  0.0252   3.3952E-03  0.0164   1.5446E-04  0.0510   4.0616E-03  0.0157
   3.8019E+00   4.0738E+00   1.1785E-04  0.0230   5.4890E-05  0.0272   2.9453E-03  0.0176   1.3995E-04  0.0522   3.5995E-03  0.0167
   4.0738E+00   4.3652E+00   1.0412E-04  0.0239   4.5706E-05  0.0281   2.7277E-03  0.0183   1.3266E-04  0.0536   3.3301E-03  0.0173
   4.3652E+00   4.6774E+00   8.5422E-05  0.0262   4.0152E-05  0.0307   2.1940E-03  0.0203   1.2051E-04  0.0556   2.7623E-03  0.0190
   4.6774E+00   5.0119E+00   6.8459E-05  0.0285   3.2433E-05  0.0337   1.8993E-03  0.0218   1.0665E-04  0.0577   2.3950E-03  0.0204
   5.0119E+00   5.3703E+00   5.5041E-05  0.0305   2.6317E-05  0.0359   1.6058E-03  0.0236   9.5311E-05  0.0614   2.0008E-03  0.0223
   5.3703E+00   5.7544E+00   4.3161E-05  0.0343   2.0778E-05  0.0395   1.3496E-03  0.0257   9.3109E-05  0.0620   1.6885E-03  0.0243
   5.7544E+00   6.1660E+00   3.5018E-05  0.0365   1.6430E-05  0.0429   1.2029E-03  0.0272   9.4075E-05  0.0640   1.4949E-03  0.0258
   6.1660E+00   6.6069E+00   2.8663E-05  0.0389   1.3809E-05  0.0450   1.0865E-03  0.0286   9.0688E-05  0.0640   1.3412E-03  0.0273
   6.6069E+00   7.0795E+00   2.2712E-05  0.0416   1.1060E-05  0.0490   1.0308E-03  0.0293   1.0229E-04  0.0601   1.2694E-03  0.0280
   7.0795E+00   7.5858E+00   2.0383E-05  0.0428   9.8727E-06  0.0492   1.0653E-03  0.0286   1.3901E-04  0.0519   1.3352E-03  0.0273
   7.5858E+00   8.1283E+00   1.6606E-05  0.0433   7.9428E-06  0.0521   1.0546E-03  0.0287   1.4396E-04  0.0499   1.3023E-03  0.0277
   8.1283E+00   8.7096E+00   1.5583E-05  0.0443   6.5917E-06  0.0492   1.0194E-03  0.0295   1.2700E-04  0.0523   1.2205E-03  0.0286
   8.7096E+00   9.3325E+00   1.0563E-05  0.0504   5.1108E-06  0.0609   6.9328E-04  0.0357   8.5774E-05  0.0610   8.2828E-04  0.0347
   9.3325E+00   1.0000E+01   7.4259E-06  0.0584   3.7680E-06  0.0660   4.7740E-04  0.0426   6.5540E-05  0.0698   5.8778E-04  0.0412

#   sum over                 2.0289E-01           9.6814E-02           2.0434E-01           2.5601E-03           5.1069E-01

'no. =  1,  reg  =    102'
msuc: {\huge Energy Deposition in lower cooper}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.17}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.0000E+00 [cm^3]
e:
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  1 # 1:Batch variance, 2:History variance
# resc2  = 1.00208000000000004E+03 # Total source weight or Total source weight / maxcas
# resc3  = 1.00000000000000000E+03 # Total history number or Total batch number
# maxcas =        1000 # History / Batch, only used for istdev=1
# rijklst=  85461988288409.0 # Next initial random number
